c_id,iter_id,exact_eigenvalue,min_eigenvalue_approx,energy_diff
1,1,-1.1373060352981366,-0.9062697466053788,0.23103628869275772
1,2,-1.1373060352981366,-0.9539507191943033,0.18335531610383327
1,3,-1.1373060352981366,-0.9227891430088402,0.21451689228929638
1,4,-1.1373060352981366,-0.8882527300411442,0.24905330525699232
1,5,-1.1373060352981366,-0.9584779160304799,0.17882811926765663
2,1,-1.1373060352981366,-0.9269429984853204,0.2103630368128162
2,2,-1.1373060352981366,-0.9422536143434044,0.1950524209547322
2,3,-1.1373060352981366,-0.9400754800094171,0.19723055528871947
2,4,-1.1373060352981366,-0.9535592495871346,0.183746785711002
2,5,-1.1373060352981366,-0.933698260746916,0.2036077745512206
3,1,-1.1373060352981366,-0.9412110193735874,0.19609501592454914
3,2,-1.1373060352981366,-0.8844964397807404,0.2528095955173961
3,3,-1.1373060352981366,-0.9011760255951635,0.23613000970297304
3,4,-1.1373060352981366,-0.9297359194610075,0.20757011583712903
3,5,-1.1373060352981366,-0.9068915306225085,0.23041450467562807
4,1,-1.1373060352981366,-0.9396419495045183,0.19766408579361827
4,2,-1.1373060352981366,-0.92380988394852,0.21349615134961653
4,3,-1.1373060352981366,-0.9253781432979478,0.2119278920001888
4,4,-1.1373060352981366,-0.9412460967338709,0.19605993856426562
4,5,-1.1373060352981366,-0.8957371237457032,0.24156891155243332
5,1,-1.1373060352981366,-0.9353868366239759,0.20191919867416064
5,2,-1.1373060352981366,-0.8981981250820505,0.23910791021608602
5,3,-1.1373060352981366,-0.9455197026000708,0.19178633269806578
5,4,-1.1373060352981366,-0.9218416643070941,0.21546437099104243
5,5,-1.1373060352981366,-0.9388335166331043,0.19847251866503224
6,1,-1.1373060352981366,-0.9078609567339242,0.22944507856421237
6,2,-1.1373060352981366,-0.9299082694207406,0.207397765877396
6,3,-1.1373060352981366,-0.9135716900172313,0.2237343452809053
6,4,-1.1373060352981366,-0.9394698398632062,0.19783619543493036
6,5,-1.1373060352981366,-0.9222791314693899,0.21502690382874667
7,1,-1.1373060352981366,-0.9141196726769769,0.22318636262115965
7,2,-1.1373060352981366,-0.9285658924231674,0.20874014287496911
7,3,-1.1373060352981366,-0.9294942970548417,0.2078117382432949
7,4,-1.1373060352981366,-0.9610627571366173,0.1762432781615193
7,5,-1.1373060352981366,-0.9076132928951854,0.22969274240295112
8,1,-1.1373060352981366,-0.944050865198564,0.1932551700995726
8,2,-1.1373060352981366,-0.9331005257405189,0.20420550955761763
8,3,-1.1373060352981366,-0.9467680557379701,0.1905379795601665
8,4,-1.1373060352981366,-0.9000823806493361,0.23722365464880046
8,5,-1.1373060352981366,-0.9375503739098847,0.19975566138825185
9,1,-1.1373060352981366,-0.760735851807413,0.3765701834907236
9,2,-1.1373060352981366,-0.7753151459638234,0.3619908893343131
9,3,-1.1373060352981366,-0.6456201321604,0.4916859031377365
9,4,-1.1373060352981366,-0.6866399155196652,0.4506661197784714
9,5,-1.1373060352981366,-0.6890229960938741,0.4482830392042625
10,1,-1.1373060352981366,-0.31641845545025693,0.8208875798478796
10,2,-1.1373060352981366,-0.2825547326296569,0.8547513026684797
10,3,-1.1373060352981366,-0.18736012667230117,0.9499459086258354
10,4,-1.1373060352981366,-0.22566513587550519,0.9116408994226314
10,5,-1.1373060352981366,-0.28201197032092895,0.8552940649772076
11,1,-1.1373060352981366,-0.8315547333539639,0.30575130194417266
11,2,-1.1373060352981366,-0.8023858097832601,0.33492022551487644
11,3,-1.1373060352981366,-0.7920069985458766,0.3452990367522599
11,4,-1.1373060352981366,-0.6886684579007507,0.44863757739738586
11,5,-1.1373060352981366,-0.7290992058144476,0.4082068294836889
12,1,-1.1373060352981366,-0.7493820667879241,0.3879239685102125
12,2,-1.1373060352981366,-0.7504063024175889,0.3868997328805477
12,3,-1.1373060352981366,-0.8497199065015908,0.28758612879654577
12,4,-1.1373060352981366,-0.7273052699711833,0.4100007653269533
12,5,-1.1373060352981366,-0.7771130420304286,0.36019299326770793
