c_id,iter_id,exact_eigenvalue,min_eigenvalue_approx,energy_diff

1,1,-1.1373060352981366,-1.0592965172146427,0.07800951808349388

1,2,-1.1373060352981366,-0.5978964895118055,0.539409545786331

1,3,-1.1373060352981366,-1.0377092109938815,0.0995968243042551

1,4,-1.1373060352981366,-1.0301470120701726,0.107159023227964

1,5,-1.1373060352981366,-1.0478305234859353,0.08947551181220126

2,1,-1.1373060352981366,-1.0358214568685338,0.10148457842960279

2,2,-1.1373060352981366,-1.0449272617864505,0.09237877351168611

2,3,-1.1373060352981366,-1.0476896943900231,0.08961634090811343

2,4,-1.1373060352981366,-1.027801452614556,0.10950458268358054

2,5,-1.1373060352981366,-1.048392513604912,0.08891352169322464

3,1,-1.1373060352981366,-1.035897330806913,0.10140870449122352

3,2,-1.1373060352981366,-1.0426096582509532,0.09469637704718337

3,3,-1.1373060352981366,-1.0393115367269008,0.09799449857123577

3,4,-1.1373060352981366,-1.0245046847071462,0.11280135059099039

3,5,-1.1373060352981366,-1.0207287704898604,0.11657726480827613

4,1,-1.1373060352981366,-1.0356259662578486,0.10168006904028792

4,2,-1.1373060352981366,-1.0287356603081799,0.1085703749899567

4,3,-1.1373060352981366,-1.0369549166092054,0.1003511186889312

4,4,-1.1373060352981366,-1.033241693951984,0.10406434134615261

4,5,-1.1373060352981366,-1.0408669267992752,0.09643910849886139

5,1,-1.1373060352981366,-1.0652343292121842,0.07207170608595237

5,2,-1.1373060352981366,-1.0336321179341483,0.10367391736398823

5,3,-1.1373060352981366,-1.0343729866463887,0.1029330486517479

5,4,-1.1373060352981366,-1.0503088513513192,0.08699718394681732

5,5,-1.1373060352981366,-1.0432964733429688,0.09400956195516774

6,1,-1.1373060352981366,-1.0433081145584573,0.09399792073967927

6,2,-1.1373060352981366,-1.0395489019687354,0.09775713332940117

6,3,-1.1373060352981366,-1.0544838004953556,0.08282223480278095

6,4,-1.1373060352981366,-1.0639411583033043,0.0733648769948323

6,5,-1.1373060352981366,-1.0251314488235412,0.11217458647459533

7,1,-1.1373060352981366,-0.47151787943706114,0.6657881558610754

7,2,-1.1373060352981366,-1.0290084764967344,0.10829755880140213

7,3,-1.1373060352981366,-1.0384172618705094,0.09888877342762714

7,4,-1.1373060352981366,-1.0326976192918853,0.10460841600625126

7,5,-1.1373060352981366,-1.0465949646606154,0.09071107063752115

8,1,-1.1373060352981366,-1.0451846763729353,0.09212135892520124

8,2,-1.1373060352981366,-1.0312083613328682,0.10609767396526837

8,3,-1.1373060352981366,-1.0237501369013688,0.11355589839676772

8,4,-1.1373060352981366,-1.0330505792559155,0.10425545604222108

8,5,-1.1373060352981366,-1.022469881339962,0.11483615395817459

9,1,-1.1373060352981366,-1.000072245610215,0.13723378968792166

9,2,-1.1373060352981366,-0.9984568621770915,0.13884917312104506

9,3,-1.1373060352981366,-1.0090093669521079,0.1282966683460287

9,4,-1.1373060352981366,-1.0147047165535241,0.12260131874461244

9,5,-1.1373060352981366,-0.9750341524383801,0.16227188285975647

10,1,-1.1373060352981366,-0.29038500772713993,0.8469210275709966

10,2,-1.1373060352981366,-0.28462888118499663,0.8526771541131399

10,3,-1.1373060352981366,-0.42720396181653264,0.7101020734816039

10,4,-1.1373060352981366,-0.3016307077868865,0.8356753275112501

10,5,-1.1373060352981366,-0.30460618569997755,0.832699849598159

11,1,-1.1373060352981366,-1.012779644499437,0.12452639079869954

11,2,-1.1373060352981366,-0.9912564146758291,0.14604962062230742

11,3,-1.1373060352981366,-1.0121015887933833,0.12520444650475326

11,4,-1.1373060352981366,-0.9819711982790114,0.1553348370191252

11,5,-1.1373060352981366,-0.9971404753281283,0.14016555997000824

12,1,-1.1373060352981366,-1.0057456173592585,0.13156041793887807

12,2,-1.1373060352981366,-1.0110268939842573,0.1262791413138793

12,3,-1.1373060352981366,-0.7530599204795678,0.38424611481856874

12,4,-1.1373060352981366,-0.9959004997539294,0.1414055355442072

12,5,-1.1373060352981366,-1.0077216996626022,0.1295843356355344

13,1,-1.1373060352981366,-1.0398030240614535,0.09750301123668303

13,2,-1.1373060352981366,-1.0574000776958992,0.0799059576022374

13,3,-1.1373060352981366,-1.0424552919745722,0.09485074332356436

13,4,-1.1373060352981366,-1.0407767456789447,0.09652928961919183

13,5,-1.1373060352981366,-1.0334496044174342,0.1038564308807024

14,1,-1.1373060352981366,-1.044761847395248,0.09254418790288854

14,2,-1.1373060352981366,-1.037609739131031,0.09969629616710551

14,3,-1.1373060352981366,-1.0552715715280752,0.0820344637700614

14,4,-1.1373060352981366,-1.044857221783513,0.09244881351462353

14,5,-1.1373060352981366,-1.0689964660311244,0.06830956926701215

15,1,-1.1373060352981366,-1.0373076979234699,0.09999833737466668

15,2,-1.1373060352981366,-1.0329107061216711,0.10439532917646543

15,3,-1.1373060352981366,-1.050200834430218,0.08710520086791851

15,4,-1.1373060352981366,-1.0455967475626977,0.09170928773543885

15,5,-1.1373060352981366,-1.0184363522403752,0.11886968305776136

16,1,-1.1373060352981366,-1.045435063291833,0.09187097200630356

16,2,-1.1373060352981366,-1.0434526058151687,0.09385342948296782

16,3,-1.1373060352981366,-1.0300100984569533,0.10729593684118321

16,4,-1.1373060352981366,-1.04528026701393,0.0920257682842065

16,5,-1.1373060352981366,-1.0335800986654744,0.10372593663266216

17,1,-1.1373060352981366,-1.0560202660009577,0.0812857692971789

17,2,-1.1373060352981366,-1.0173213257194706,0.11998470957866592

17,3,-1.1373060352981366,-1.053729646009834,0.08357638928830258

17,4,-1.1373060352981366,-1.0520201167627636,0.08528591853537293

17,5,-1.1373060352981366,-1.033427689522764,0.10387834577537247

18,1,-1.1373060352981366,-1.0474589332692645,0.08984710202887203

18,2,-1.1373060352981366,-1.0593398443806747,0.07796619091746182

18,3,-1.1373060352981366,-1.0251023105700925,0.11220372472804407

18,4,-1.1373060352981366,-1.0319731195785822,0.10533291571955439

18,5,-1.1373060352981366,-1.0566489015740974,0.08065713372403915

19,1,-1.1373060352981366,-1.0507603724257617,0.08654566287237486

19,2,-1.1373060352981366,-1.0527008405036438,0.0846051947944928

19,3,-1.1373060352981366,-1.0537242848385389,0.0835817504595977

19,4,-1.1373060352981366,-1.0650174780840362,0.07228855721410032

19,5,-1.1373060352981366,-1.0495690900697718,0.08773694522836473

20,1,-1.1373060352981366,-1.043901617250327,0.09340441804780952

20,2,-1.1373060352981366,-1.0268804575714865,0.11042557772665007

20,3,-1.1373060352981366,-1.0539505190482616,0.08335551624987492

20,4,-1.1373060352981366,-1.032062699632841,0.10524333566529553

20,5,-1.1373060352981366,-1.0272839578721504,0.11002207742598613

